Year,Quarter,Month,Product,Region,Sales_Amount
2022,Q1,Month-3,Headphones,UK,14417
2022,Q1,Month-3,Headphones,Germany,41757
2022,Q1,Month-3,Headphones,France,10692
2022,Q1,Month-3,Headphones,Japan,46758
2022,Q1,Month-3,Smartwatch,USA,7873
2022,Q1,Month-3,Smartwatch,UK,6675
2022,Q1,Month-3,Smartwatch,Germany,1161
2022,Q1,Month-3,Smartwatch,France,38065
2022,Q1,Month-3,Smartwatch,Japan,27557
2022,Q1,Month-4,Laptop,USA,34763
2022,Q1,Month-4,Laptop,UK,33606
2022,Q1,Month-4,Laptop,Germany,12534
2022,Q1,Month-4,Laptop,France,30127
2022,Q1,Month-4,Laptop,Japan,41397
2022,Q1,Month-4,Smartphone,USA,26851
2022,Q1,Month-4,Smartphone,UK,2016
2022,Q1,Month-4,Smartphone,Germany,25253
2022,Q1,Month-4,Smartphone,France,25276
2022,Q1,Month-4,Smartphone,Japan,24247
2022,Q1,Month-4,Tablet,USA,25300
2022,Q1,Month-4,Tablet,UK,9529
2022,Q1,Month-4,Tablet,Germany,18262
2022,Q1,Month-4,Tablet,France,10268
2022,Q1,Month-4,Tablet,Japan,22271
2022,Q1,Month-4,Headphones,USA,13185
2022,Q1,Month-4,Headphones,UK,22243
2022,Q1,Month-4,Headphones,Germany,40099
2022,Q1,Month-4,Headphones,France,9571
2022,Q1,Month-4,Headphones,Japan,40976
2022,Q1,Month-4,Smartwatch,USA,39044
2022,Q1,Month-4,Smartwatch,UK,49984
2022,Q1,Month-4,Smartwatch,Germany,41774
2022,Q1,Month-4,Smartwatch,France,3568
2022,Q1,Month-4,Smartwatch,Japan,3027
2022,Q1,Month-5,Laptop,USA,3695
2022,Q1,Month-5,Laptop,UK,49190
2022,Q1,Month-5,Laptop,Germany,6258
2022,Q1,Month-5,Laptop,France,23002
2022,Q1,Month-5,Laptop,Japan,40504
2022,Q1,Month-5,Smartphone,USA,34159
2022,Q1,Month-5,Smartphone,UK,14986
2022,Q1,Month-5,Smartphone,Germany,13666
2022,Q1,Month-5,Smartphone,France,39660
2022,Q1,Month-5,Smartphone,Japan,4561
2022,Q1,Month-5,Tablet,USA,27854
2022,Q1,Month-5,Tablet,UK,39952
2022,Q1,Month-5,Tablet,Germany,23662
2022,Q1,Month-5,Tablet,France,9392
2022,Q1,Month-5,Tablet,Japan,31535
2022,Q1,Month-5,Headphones,USA,14067
2022,Q1,Month-5,Headphones,UK,49033
2022,Q1,Month-5,Headphones,Germany,24599
2022,Q1,Month-5,Headphones,France,36222
2022,Q1,Month-5,Headphones,Japan,12837
2022,Q1,Month-5,Smartwatch,USA,15039
2022,Q1,Month-5,Smartwatch,UK,31818
2022,Q1,Month-5,Smartwatch,Germany,20115
2022,Q1,Month-5,Smartwatch,France,11965
2022,Q1,Month-5,Smartwatch,Japan,25538
2022,Q1,Month-6,Laptop,USA,43530
2022,Q1,Month-6,Laptop,UK,6056
2022,Q1,Month-6,Laptop,Germany,33482
2022,Q1,Month-6,Laptop,France,48716
2022,Q1,Month-6,Laptop,Japan,9110
2022,Q1,Month-6,Smartphone,USA,14773
2022,Q1,Month-6,Smartphone,UK,28266
2022,Q1,Month-6,Smartphone,Germany,18412
2022,Q1,Month-6,Smartphone,France,34270
2022,Q1,Month-6,Smartphone,Japan,7910
2022,Q1,Month-6,Tablet,USA,46453
2022,Q1,Month-6,Tablet,UK,26446
2022,Q1,Month-6,Tablet,Germany,1206
2022,Q1,Month-6,Tablet,France,22518
2022,Q1,Month-6,Tablet,Japan,23361
2022,Q1,Month-6,Headphones,USA,24419
2022,Q1,Month-6,Headphones,UK,49702
2022,Q1,Month-6,Headphones,Germany,42523
2022,Q1,Month-6,Headphones,France,46151
2022,Q1,Month-6,Headphones,Japan,23403
2022,Q1,Month-6,Smartwatch,USA,19141
2022,Q1,Month-6,Smartwatch,UK,15820
2022,Q1,Month-6,Smartwatch,Germany,41342
2022,Q1,Month-6,Smartwatch,France,7374
2022,Q1,Month-6,Smartwatch,Japan,2678
2022,Q1,Month-7,Laptop,USA,34827
2022,Q1,Month-7,Laptop,UK,17198
2022,Q1,Month-7,Laptop,Germany,10914
2022,Q1,Month-7,Laptop,France,28890
2022,Q1,Month-7,Laptop,Japan,23299
2022,Q1,Month-7,Smartphone,USA,44585
2022,Q1,Month-7,Smartphone,UK,44689
2022,Q1,Month-7,Smartphone,Germany,43557
2022,Q1,Month-7,Smartphone,France,45020
2022,Q1,Month-7,Smartphone,Japan,3693
2022,Q1,Month-7,Tablet,USA,30467
2022,Q1,Month-7,Tablet,UK,30723
2022,Q1,Month-7,Tablet,Germany,47699
2022,Q1,Month-7,Tablet,France,4627
2022,Q1,Month-7,Tablet,Japan,26939
2022,Q1,Month-7,Headphones,USA,49925
2022,Q1,Month-7,Headphones,UK,43941
2022,Q1,Month-7,Headphones,Germany,22834
2022,Q1,Month-7,Headphones,France,19047
2022,Q1,Month-7,Headphones,Japan,27105
2022,Q1,Month-7,Smartwatch,USA,11230
2022,Q1,Month-7,Smartwatch,UK,16707
2022,Q1,Month-7,Smartwatch,Germany,22976
2022,Q1,Month-7,Smartwatch,France,45262
2022,Q1,Month-7,Smartwatch,Japan,24776
2022,Q1,Month-8,Laptop,USA,31080
2022,Q1,Month-8,Laptop,UK,2306
2022,Q1,Month-8,Laptop,Germany,7776
2022,Q1,Month-8,Laptop,France,28251
2022,Q1,Month-8,Laptop,Japan,10474
2022,Q1,Month-8,Smartphone,USA,41294
2022,Q1,Month-8,Smartphone,UK,22959
2022,Q1,Month-8,Smartphone,Germany,6530
2022,Q1,Month-8,Smartphone,France,30320
2022,Q1,Month-8,Smartphone,Japan,4748
2022,Q1,Month-8,Tablet,USA,32968
2022,Q1,Month-8,Tablet,UK,33562
2022,Q1,Month-8,Tablet,Germany,14545
2022,Q1,Month-8,Tablet,France,1663
2022,Q1,Month-8,Tablet,Japan,35766
2022,Q1,Month-8,Headphones,USA,8994
2022,Q1,Month-8,Headphones,UK,29021
2022,Q1,Month-8,Headphones,Germany,31303
2022,Q1,Month-8,Headphones,France,4304
2022,Q1,Month-8,Headphones,Japan,47576
2022,Q1,Month-8,Smartwatch,USA,40353
2022,Q1,Month-8,Smartwatch,UK,18675
2022,Q1,Month-8,Smartwatch,Germany,45417
2022,Q1,Month-8,Smartwatch,France,24938
2022,Q1,Month-8,Smartwatch,Japan,24664
2022,Q1,Month-9,Laptop,USA,2636
2022,Q1,Month-9,Laptop,UK,21080
2022,Q1,Month-9,Laptop,Germany,28728
2022,Q1,Month-9,Laptop,France,27736
2022,Q1,Month-9,Laptop,Japan,29673
2022,Q1,Month-9,Smartphone,USA,38505
2022,Q1,Month-9,Smartphone,UK,48323
2022,Q1,Month-9,Smartphone,Germany,47645
2022,Q1,Month-9,Smartphone,France,1854
2022,Q1,Month-9,Smartphone,Japan,25548
2022,Q1,Month-9,Tablet,USA,39623
2022,Q1,Month-9,Tablet,UK,8392
2022,Q1,Month-9,Tablet,Germany,47717
2022,Q1,Month-9,Tablet,France,22556
2022,Q1,Month-9,Tablet,Japan,39559
2022,Q1,Month-9,Headphones,USA,27309
2022,Q1,Month-9,Headphones,UK,22919
2022,Q1,Month-9,Headphones,Germany,5931
2022,Q1,Month-9,Headphones,France,33970
2022,Q1,Month-9,Headphones,Japan,45215
2022,Q1,Month-9,Smartwatch,USA,13688
2022,Q1,Month-9,Smartwatch,UK,26342
2022,Q1,Month-9,Smartwatch,Germany,38157
2022,Q1,Month-9,Smartwatch,France,3327
2022,Q1,Month-9,Smartwatch,Japan,41772
2022,Q1,Month-10,Laptop,USA,41545
2022,Q1,Month-10,Laptop,UK,1197
2022,Q1,Month-10,Laptop,Germany,24509
2022,Q1,Month-10,Laptop,France,35698
2022,Q1,Month-10,Laptop,Japan,45542
2022,Q1,Month-10,Smartphone,USA,16087
2022,Q1,Month-10,Smartphone,UK,23671
2022,Q1,Month-10,Smartphone,Germany,26184
2022,Q1,Month-10,Smartphone,France,28848
2022,Q1,Month-10,Smartphone,Japan,43107
2022,Q1,Month-10,Tablet,USA,21666
2022,Q1,Month-10,Tablet,UK,45357
2022,Q1,Month-10,Tablet,Germany,16708
2022,Q1,Month-10,Tablet,France,27370
2022,Q1,Month-10,Tablet,Japan,3811
2022,Q1,Month-10,Headphones,USA,48011
2022,Q1,Month-10,Headphones,UK,7546
2022,Q1,Month-10,Headphones,Germany,35754
2022,Q1,Month-10,Headphones,France,31206
2022,Q1,Month-10,Headphones,Japan,42106
2022,Q1,Month-10,Smartwatch,USA,12411
2022,Q1,Month-10,Smartwatch,UK,3911
2022,Q1,Month-10,Smartwatch,Germany,2734
2022,Q1,Month-10,Smartwatch,France,19227
2022,Q1,Month-10,Smartwatch,Japan,9680
2022,Q1,Month-11,Laptop,USA,20360
2022,Q1,Month-11,Laptop,UK,19343
2022,Q1,Month-11,Laptop,Germany,6759
2022,Q1,Month-11,Laptop,France,24078
2022,Q1,Month-11,Laptop,Japan,36153
2022,Q1,Month-11,Smartphone,USA,12111
2022,Q1,Month-11,Smartphone,UK,38504
2022,Q1,Month-11,Smartphone,Germany,2802
2022,Q1,Month-11,Smartphone,France,9155
2022,Q1,Month-11,Smartphone,Japan,9120
2022,Q1,Month-11,Tablet,USA,40384
2022,Q1,Month-11,Tablet,UK,48025
2022,Q1,Month-11,Tablet,Germany,48254
2022,Q1,Month-11,Tablet,France,22918
2022,Q1,Month-11,Tablet,Japan,21445
2022,Q1,Month-11,Headphones,USA,31306
2022,Q1,Month-11,Headphones,UK,17646
2022,Q1,Month-11,Headphones,Germany,47843
2022,Q1,Month-11,Headphones,France,32065
2022,Q1,Month-11,Headphones,Japan,26199
2022,Q1,Month-11,Smartwatch,USA,42976
2022,Q1,Month-11,Smartwatch,UK,17371
2022,Q1,Month-11,Smartwatch,Germany,12835
2022,Q1,Month-11,Smartwatch,France,46936
2022,Q1,Month-11,Smartwatch,Japan,3049
2022,Q1,Month-12,Laptop,USA,32616
2022,Q1,Month-12,Laptop,UK,39191
2022,Q1,Month-12,Laptop,Germany,48357
2022,Q1,Month-12,Laptop,France,21932
2022,Q1,Month-12,Laptop,Japan,30855
2022,Q1,Month-12,Smartphone,USA,8158
2022,Q1,Month-12,Smartphone,UK,44016
2022,Q1,Month-12,Smartphone,Germany,8400
2022,Q1,Month-12,Smartphone,France,43642
2022,Q1,Month-12,Smartphone,Japan,16151
2022,Q1,Month-12,Tablet,USA,2154
2022,Q1,Month-12,Tablet,UK,5499
2022,Q1,Month-12,Tablet,Germany,7295
2022,Q1,Month-12,Tablet,France,13183
2022,Q1,Month-12,Tablet,Japan,30299
2022,Q1,Month-12,Headphones,USA,13874
2022,Q1,Month-12,Headphones,UK,33711
2022,Q1,Month-12,Headphones,Germany,6539
2022,Q1,Month-12,Headphones,France,43405
2022,Q1,Month-12,Headphones,Japan,49354
2022,Q1,Month-12,Smartwatch,USA,3557
2022,Q1,Month-12,Smartwatch,UK,39360
2022,Q1,Month-12,Smartwatch,Germany,17482
2022,Q1,Month-12,Smartwatch,France,3200
2022,Q1,Month-12,Smartwatch,Japan,47940
2022,Q2,Month-1,Laptop,USA,3961
2022,Q2,Month-1,Laptop,UK,47975
2022,Q2,Month-1,Laptop,Germany,22357
2022,Q2,Month-1,Laptop,France,12969
2022,Q2,Month-1,Laptop,Japan,3869
2022,Q2,Month-1,Smartphone,USA,47760
2022,Q2,Month-1,Smartphone,UK,29643
2022,Q2,Month-1,Smartphone,Germany,25736
2022,Q2,Month-1,Smartphone,France,39467
2022,Q2,Month-1,Smartphone,Japan,24328
2022,Q2,Month-1,Tablet,USA,26876
2022,Q2,Month-1,Tablet,UK,22295
2022,Q2,Month-1,Tablet,Germany,4987
2022,Q2,Month-1,Tablet,France,23399
2022,Q2,Month-1,Tablet,Japan,47214
2022,Q2,Month-1,Headphones,USA,34986
2022,Q2,Month-1,Headphones,UK,21880
2022,Q2,Month-1,Headphones,Germany,5735
2022,Q2,Month-1,Headphones,France,45064
2022,Q2,Month-1,Headphones,Japan,5555
2022,Q2,Month-1,Smartwatch,USA,42914
2022,Q2,Month-1,Smartwatch,UK,41818
2022,Q2,Month-1,Smartwatch,Germany,46525
2022,Q2,Month-1,Smartwatch,France,20830
2022,Q2,Month-1,Smartwatch,Japan,18429
2022,Q2,Month-2,Laptop,USA,7893
2022,Q2,Month-2,Laptop,UK,15373
2022,Q2,Month-2,Laptop,Germany,48333
2022,Q2,Month-2,Laptop,France,4436
2022,Q2,Month-2,Laptop,Japan,9754
2022,Q2,Month-2,Smartphone,USA,11677
2022,Q2,Month-2,Smartphone,UK,6895
2022,Q2,Month-2,Smartphone,Germany,20738
2022,Q2,Month-2,Smartphone,France,31746
2022,Q2,Month-2,Smartphone,Japan,49404
2022,Q2,Month-2,Tablet,USA,33352
2022,Q2,Month-2,Tablet,UK,40790
2022,Q2,Month-2,Tablet,Germany,42919
2022,Q2,Month-2,Tablet,France,6600
2022,Q2,Month-2,Tablet,Japan,30124
2022,Q2,Month-2,Headphones,USA,28643
2022,Q2,Month-2,Headphones,UK,41764
2022,Q2,Month-2,Headphones,Germany,10007
2022,Q2,Month-2,Headphones,France,46714
2022,Q2,Month-2,Headphones,Japan,38410
2022,Q2,Month-2,Smartwatch,USA,45080
2022,Q2,Month-2,Smartwatch,UK,41447
2022,Q2,Month-2,Smartwatch,Germany,9208
2022,Q2,Month-2,Smartwatch,France,19589
2022,Q2,Month-2,Smartwatch,Japan,44484
2022,Q2,Month-3,Laptop,USA,18453
2022,Q2,Month-3,Laptop,UK,37212
2022,Q2,Month-3,Laptop,Germany,44525
2022,Q2,Month-3,Laptop,France,48202
2022,Q2,Month-3,Laptop,Japan,33635
2022,Q2,Month-3,Smartphone,USA,34828
2022,Q2,Month-3,Smartphone,UK,19711
2022,Q2,Month-3,Smartphone,Germany,4420
2022,Q2,Month-3,Smartphone,France,32216
2022,Q2,Month-3,Smartphone,Japan,1301
2022,Q2,Month-3,Tablet,USA,46236
2022,Q2,Month-3,Tablet,UK,1699
2022,Q2,Month-3,Tablet,Germany,1190
2022,Q2,Month-3,Tablet,France,11492
2022,Q2,Month-3,Tablet,Japan,36743
2022,Q2,Month-3,Headphones,USA,7102
2022,Q2,Month-3,Headphones,UK,20778
2022,Q2,Month-3,Headphones,Germany,27641
2022,Q2,Month-3,Headphones,France,35584
2022,Q2,Month-3,Headphones,Japan,33745
2022,Q2,Month-3,Smartwatch,USA,24093
2022,Q2,Month-3,Smartwatch,UK,1569
2022,Q2,Month-3,Smartwatch,Germany,39210
2022,Q2,Month-3,Smartwatch,France,35663
2022,Q2,Month-3,Smartwatch,Japan,37631
2022,Q2,Month-4,Laptop,USA,46681
2022,Q2,Month-4,Laptop,UK,8455
2022,Q2,Month-4,Laptop,Germany,5014
2022,Q2,Month-4,Laptop,France,12093
2022,Q2,Month-4,Laptop,Japan,19070
2022,Q2,Month-4,Smartphone,USA,36777
2022,Q2,Month-4,Smartphone,UK,17538
2022,Q2,Month-4,Smartphone,Germany,11729
2022,Q2,Month-4,Smartphone,France,35177
2022,Q2,Month-4,Smartphone,Japan,46017
2022,Q2,Month-4,Tablet,USA,1784
2022,Q2,Month-4,Tablet,UK,28751
2022,Q2,Month-4,Tablet,Germany,41864
2022,Q2,Month-4,Tablet,France,41328
2022,Q2,Month-4,Tablet,Japan,13533
2022,Q2,Month-4,Headphones,USA,41111
2022,Q2,Month-4,Headphones,UK,40974
2022,Q2,Month-4,Headphones,Germany,6801
2022,Q2,Month-4,Headphones,France,20190
2022,Q2,Month-4,Headphones,Japan,39754
2022,Q2,Month-4,Smartwatch,USA,30592
2022,Q2,Month-4,Smartwatch,UK,11647
2022,Q2,Month-4,Smartwatch,Germany,9716
2022,Q2,Month-4,Smartwatch,France,24355
2022,Q2,Month-4,Smartwatch,Japan,23009
2022,Q2,Month-5,Laptop,USA,25376
2022,Q2,Month-5,Laptop,UK,46091
2022,Q2,Month-5,Laptop,Germany,5780
2022,Q2,Month-5,Laptop,France,3368
2022,Q2,Month-5,Laptop,Japan,13039
2022,Q2,Month-5,Smartphone,USA,7655
2022,Q2,Month-5,Smartphone,UK,41941
2022,Q2,Month-5,Smartphone,Germany,5495
2022,Q2,Month-5,Smartphone,France,11893
2022,Q2,Month-5,Smartphone,Japan,26547
2022,Q2,Month-5,Tablet,USA,23386
2022,Q2,Month-5,Tablet,UK,14403
2022,Q2,Month-5,Tablet,Germany,33097
2022,Q2,Month-5,Tablet,France,14121
2022,Q2,Month-5,Tablet,Japan,11966
2022,Q2,Month-5,Headphones,USA,34621
2022,Q2,Month-5,Headphones,UK,29312
2022,Q2,Month-5,Headphones,Germany,23677
2022,Q2,Month-5,Headphones,France,32289
2022,Q2,Month-5,Headphones,Japan,32024
2022,Q2,Month-5,Smartwatch,USA,43675
2022,Q2,Month-5,Smartwatch,UK,5777
2022,Q2,Month-5,Smartwatch,Germany,30749
2022,Q2,Month-5,Smartwatch,France,16338
2022,Q2,Month-5,Smartwatch,Japan,3491
2022,Q2,Month-6,Laptop,USA,28236
2022,Q2,Month-6,Laptop,UK,49096
2022,Q2,Month-6,Laptop,Germany,15599
2022,Q2,Month-6,Laptop,France,20508
2022,Q2,Month-6,Laptop,Japan,4051
2022,Q2,Month-6,Smartphone,USA,49747
2022,Q2,Month-6,Smartphone,UK,22606
2022,Q2,Month-6,Smartphone,Germany,22699
2022,Q2,Month-6,Smartphone,France,1876
2022,Q2,Month-6,Smartphone,Japan,33093
2022,Q2,Month-6,Tablet,USA,5142
2022,Q2,Month-6,Tablet,UK,16202
2022,Q2,Month-6,Tablet,Germany,40734
2022,Q2,Month-6,Tablet,France,8079
2022,Q2,Month-6,Tablet,Japan,8987
2022,Q2,Month-6,Headphones,USA,40567
2022,Q2,Month-6,Headphones,UK,29940
2022,Q2,Month-6,Headphones,Germany,38233
2022,Q2,Month-6,Headphones,France,18019
2022,Q2,Month-6,Headphones,Japan,47185
2022,Q2,Month-6,Smartwatch,USA,19077
2022,Q2,Month-6,Smartwatch,UK,27258
2022,Q2,Month-6,Smartwatch,Germany,22136
2022,Q2,Month-6,Smartwatch,France,9311
2022,Q2,Month-6,Smartwatch,Japan,18214
2022,Q2,Month-7,Laptop,USA,15098
2022,Q2,Month-7,Laptop,UK,29251
2022,Q2,Month-7,Laptop,Germany,38945
2022,Q2,Month-7,Laptop,France,48030
2022,Q2,Month-7,Laptop,Japan,26945
2022,Q2,Month-7,Smartphone,USA,26316
2022,Q2,Month-7,Smartphone,UK,33217
2022,Q2,Month-7,Smartphone,Germany,9308
2022,Q2,Month-7,Smartphone,France,6949
2022,Q2,Month-7,Smartphone,Japan,2150
2022,Q2,Month-7,Tablet,USA,24944
2022,Q2,Month-7,Tablet,UK,35699
2022,Q2,Month-7,Tablet,Germany,10204
2022,Q2,Month-7,Tablet,France,2081
2022,Q2,Month-7,Tablet,Japan,30305
2022,Q2,Month-7,Headphones,USA,17896
2022,Q2,Month-7,Headphones,UK,47175
2022,Q2,Month-7,Headphones,Germany,8805
2022,Q2,Month-7,Headphones,France,6237
2022,Q2,Month-7,Headphones,Japan,21056
2022,Q2,Month-7,Smartwatch,USA,46543
2022,Q2,Month-7,Smartwatch,UK,46952
2022,Q2,Month-7,Smartwatch,Germany,4343
2022,Q2,Month-7,Smartwatch,France,14500
2022,Q2,Month-7,Smartwatch,Japan,30375
2022,Q2,Month-8,Laptop,USA,10662
2022,Q2,Month-8,Laptop,UK,17964
2022,Q2,Month-8,Laptop,Germany,48893
2022,Q2,Month-8,Laptop,France,9130
2022,Q2,Month-8,Laptop,Japan,20531
2022,Q2,Month-8,Smartphone,USA,2679
2022,Q2,Month-8,Smartphone,UK,4506
2022,Q2,Month-8,Smartphone,Germany,14284
2022,Q2,Month-8,Smartphone,France,8253
2022,Q2,Month-8,Smartphone,Japan,20128
2022,Q2,Month-8,Tablet,USA,28932
2022,Q2,Month-8,Tablet,UK,10435
2022,Q2,Month-8,Tablet,Germany,45078
2022,Q2,Month-8,Tablet,France,14296
2022,Q2,Month-8,Tablet,Japan,31445
2022,Q2,Month-8,Headphones,USA,14245
2022,Q2,Month-8,Headphones,UK,30124
2022,Q2,Month-8,Headphones,Germany,30899
2022,Q2,Month-8,Headphones,France,44919
2022,Q2,Month-8,Headphones,Japan,44225
2022,Q2,Month-8,Smartwatch,USA,36247
2022,Q2,Month-8,Smartwatch,UK,30222
2022,Q2,Month-8,Smartwatch,Germany,27211
2022,Q2,Month-8,Smartwatch,France,38220
2022,Q2,Month-8,Smartwatch,Japan,27646
2022,Q2,Month-9,Laptop,USA,39649
2022,Q2,Month-9,Laptop,UK,24049
2022,Q2,Month-9,Laptop,Germany,15069
2022,Q2,Month-9,Laptop,France,33580
2022,Q2,Month-9,Laptop,Japan,32843
2022,Q2,Month-9,Smartphone,USA,3849
2022,Q2,Month-9,Smartphone,UK,41158
2022,Q2,Month-9,Smartphone,Germany,24289
2022,Q2,Month-9,Smartphone,France,45690
2022,Q2,Month-9,Smartphone,Japan,36257
2022,Q2,Month-9,Tablet,USA,10823
2022,Q2,Month-9,Tablet,UK,42975
2022,Q2,Month-9,Tablet,Germany,10540
2022,Q2,Month-9,Tablet,France,17364
2022,Q2,Month-9,Tablet,Japan,5611
2022,Q2,Month-9,Headphones,USA,28663
2022,Q2,Month-9,Headphones,UK,39646
2022,Q2,Month-9,Headphones,Germany,31977
2022,Q2,Month-9,Headphones,France,30168
2022,Q2,Month-9,Headphones,Japan,26471
2022,Q2,Month-9,Smartwatch,USA,23687
2022,Q2,Month-9,Smartwatch,UK,1851
2022,Q2,Month-9,Smartwatch,Germany,19071
2022,Q2,Month-9,Smartwatch,France,7833
2022,Q2,Month-9,Smartwatch,Japan,12938
2022,Q2,Month-10,Laptop,USA,36195
2022,Q2,Month-10,Laptop,UK,27144
2022,Q2,Month-10,Laptop,Germany,5000
2022,Q2,Month-10,Laptop,France,6052
2022,Q2,Month-10,Laptop,Japan,36506
2022,Q2,Month-10,Smartphone,USA,29074
2022,Q2,Month-10,Smartphone,UK,39155
2022,Q2,Month-10,Smartphone,Germany,41770
2022,Q2,Month-10,Smartphone,France,33320
2022,Q2,Month-10,Smartphone,Japan,39304
2022,Q2,Month-10,Tablet,USA,47247
2022,Q2,Month-10,Tablet,UK,4913
2022,Q2,Month-10,Tablet,Germany,18450
2022,Q2,Month-10,Tablet,France,25107
2022,Q2,Month-10,Tablet,Japan,21764
2022,Q2,Month-10,Headphones,USA,44404
2022,Q2,Month-10,Headphones,UK,21491
2022,Q2,Month-10,Headphones,Germany,39494
2022,Q2,Month-10,Headphones,France,4373
2022,Q2,Month-10,Headphones,Japan,13161
2022,Q2,Month-10,Smartwatch,USA,32996
2022,Q2,Month-10,Smartwatch,UK,28122
2022,Q2,Month-10,Smartwatch,Germany,35850
2022,Q2,Month-10,Smartwatch,France,28350
2022,Q2,Month-10,Smartwatch,Japan,28472
2022,Q2,Month-11,Laptop,USA,29761
2022,Q2,Month-11,Laptop,UK,26351
2022,Q2,Month-11,Laptop,Germany,24132
2022,Q2,Month-11,Laptop,France,16305
2022,Q2,Month-11,Laptop,Japan,10817
2022,Q2,Month-11,Smartphone,USA,12261
2022,Q2,Month-11,Smartphone,UK,1417
2022,Q2,Month-11,Smartphone,Germany,42576
2022,Q2,Month-11,Smartphone,France,21358
2022,Q2,Month-11,Smartphone,Japan,4267
2022,Q2,Month-11,Tablet,USA,18209
2022,Q2,Month-11,Tablet,UK,25052
2022,Q2,Month-11,Tablet,Germany,39513
2022,Q2,Month-11,Tablet,France,27092
2022,Q2,Month-11,Tablet,Japan,12338
2022,Q2,Month-11,Headphones,USA,1412
2022,Q2,Month-11,Headphones,UK,8543
2022,Q2,Month-11,Headphones,Germany,41355
2022,Q2,Month-11,Headphones,France,34496
2022,Q2,Month-11,Headphones,Japan,24548
2022,Q2,Month-11,Smartwatch,USA,28384
2022,Q2,Month-11,Smartwatch,UK,45425
2022,Q2,Month-11,Smartwatch,Germany,39756
2022,Q2,Month-11,Smartwatch,France,19888
2022,Q2,Month-11,Smartwatch,Japan,36735
2022,Q2,Month-12,Laptop,USA,48295
2022,Q2,Month-12,Laptop,UK,49816
2022,Q2,Month-12,Laptop,Germany,18506
2022,Q2,Month-12,Laptop,France,21463
2022,Q2,Month-12,Laptop,Japan,18955
2022,Q2,Month-12,Smartphone,USA,38841
2022,Q2,Month-12,Smartphone,UK,6104
2022,Q2,Month-12,Smartphone,Germany,35911
2022,Q2,Month-12,Smartphone,France,24190
2022,Q2,Month-12,Smartphone,Japan,8357
2022,Q2,Month-12,Tablet,USA,33479
