,order_id,shop_guid,app_source,order_time,distance_km,prep_time_sec,traffic_sec,rain_flag,queue_size,prep_ahead_sec,eta_actual_min
361,ORD10361,SHOP_A,ShopeeFood,2025-04-27 10:34:00,2.67,490,197,0,35,28464,492.3
780,ORD10780,SHOP_A,GrabFood,2025-04-27 10:34:00,1.53,1038,1328,0,36,28954,522.6
366,ORD10366,SHOP_A,ShopeeFood,2025-04-27 10:36:00,4.74,805,563,0,37,29992,519.6
790,ORD10790,SHOP_A,LINE_MAN,2025-04-27 10:36:00,7.93,734,1771,1,38,30797,558.2
924,ORD10924,SHOP_A,Robinhood,2025-04-27 10:36:00,2.61,1182,651,1,39,31531,553.9
416,ORD10416,SHOP_A,LINE_MAN,2025-04-27 10:38:00,7.23,1128,1639,0,40,32713,594.7
811,ORD10811,SHOP_A,GrabFood,2025-04-27 10:38:00,5.33,529,1425,0,41,33841,591.4
574,ORD10574,SHOP_A,LINE_MAN,2025-04-27 10:40:00,5.5,965,193,0,42,34370,593.4
437,ORD10437,SHOP_A,LINE_MAN,2025-04-27 10:41:00,3.01,451,1334,1,43,35335,625.7
763,ORD10763,SHOP_A,GrabFood,2025-04-27 10:42:00,6.2,987,1005,0,44,35786,629.0
359,ORD10359,SHOP_A,GrabFood,2025-04-27 10:45:00,5.22,1009,1402,0,45,36773,655.5
933,ORD10933,SHOP_A,ShopeeFood,2025-04-27 10:45:00,4.0,937,737,0,46,37782,656.3
407,ORD10407,SHOP_A,LINE_MAN,2025-04-27 10:49:00,5.45,432,216,1,47,38719,657.1
932,ORD10932,SHOP_A,LINE_MAN,2025-04-27 10:49:00,6.07,1054,1770,0,48,39151,703.3
767,ORD10767,SHOP_A,ShopeeFood,2025-04-27 10:51:00,3.42,378,1594,0,49,40205,701.4
931,ORD10931,SHOP_A,GrabFood,2025-04-27 10:51:00,2.55,786,905,0,50,40583,707.9
941,ORD10941,SHOP_A,LINE_MAN,2025-04-27 10:53:00,3.84,866,1144,0,51,41369,719.1
950,ORD10950,SHOP_A,LINE_MAN,2025-04-27 10:53:00,2.25,1121,294,0,52,42235,722.6
590,ORD10590,SHOP_A,ShopeeFood,2025-04-27 10:54:00,2.61,501,1097,0,53,43356,751.7
155,ORD10155,SHOP_A,LINE_MAN,2025-04-27 10:58:00,6.22,785,565,1,54,43857,756.6
669,ORD10669,SHOP_A,LINE_MAN,2025-04-27 10:58:00,1.89,686,1349,1,55,44642,777.9
899,ORD10899,SHOP_A,ShopeeFood,2025-04-27 10:58:00,2.67,941,1200,0,56,45328,793.1
232,ORD10232,SHOP_A,GrabFood,2025-04-27 10:59:00,6.81,361,706,0,57,46269,792.7
897,ORD10897,SHOP_A,GrabFood,2025-04-27 10:59:00,2.34,1143,613,0,58,46630,811.9
26,ORD10026,SHOP_A,GrabFood,2025-04-27 11:00:00,4.16,275,259,1,59,47773,804.6
90,ORD10090,SHOP_A,LINE_MAN,2025-04-27 11:00:00,3.8,893,1116,0,60,48048,833.7
116,ORD10116,SHOP_A,GrabFood,2025-04-27 11:00:00,7.96,1174,1096,1,61,48941,856.1
451,ORD10451,SHOP_A,LINE_MAN,2025-04-27 11:01:00,4.89,946,1592,0,62,50115,878.4
464,ORD10464,SHOP_A,ShopeeFood,2025-04-27 11:01:00,3.3,378,1232,1,63,51061,881.0
637,ORD10637,SHOP_A,Robinhood,2025-04-27 11:01:00,5.64,281,1719,1,64,51439,888.0
450,ORD10450,SHOP_A,Robinhood,2025-04-27 11:02:00,4.01,979,180,0,65,51720,884.4
546,ORD10546,SHOP_A,LINE_MAN,2025-04-27 11:02:00,0.91,274,783,0,66,52699,896.3
890,ORD10890,SHOP_A,Robinhood,2025-04-27 11:03:00,3.8,915,755,0,67,52973,912.6
263,ORD10263,SHOP_A,ShopeeFood,2025-04-27 11:04:00,4.89,309,889,1,68,53888,918.0
581,ORD10581,SHOP_A,LINE_MAN,2025-04-27 11:04:00,6.33,426,1734,1,69,54197,940.5
845,ORD10845,SHOP_A,ShopeeFood,2025-04-27 11:04:00,6.61,384,644,0,70,54623,927.3
275,ORD10275,SHOP_A,ShopeeFood,2025-04-27 11:07:00,5.55,549,961,0,71,55007,946.4
653,ORD10653,SHOP_A,LINE_MAN,2025-04-27 11:07:00,2.64,878,1750,0,72,55556,961.9
944,ORD10944,SHOP_A,ShopeeFood,2025-04-27 11:07:00,5.52,533,1457,0,73,56434,975.1
963,ORD10963,SHOP_A,LINE_MAN,2025-04-27 11:08:00,0.53,747,436,1,74,56967,971.5
59,ORD10059,SHOP_A,LINE_MAN,2025-04-27 11:09:00,1.46,778,1043,0,75,57714,995.8
971,ORD10971,SHOP_A,Robinhood,2025-04-27 11:09:00,5.67,307,1613,0,76,58492,1007.7
982,ORD10982,SHOP_A,ShopeeFood,2025-04-27 11:09:00,2.79,881,1080,1,77,58799,1012.6
526,ORD10526,SHOP_A,LINE_MAN,2025-04-27 11:12:00,6.35,1131,1652,0,78,59680,1044.6
634,ORD10634,SHOP_A,LINE_MAN,2025-04-27 11:12:00,2.78,842,677,0,79,60811,1036.8
721,ORD10721,SHOP_A,Robinhood,2025-04-27 11:12:00,1.6,1099,1580,0,80,61653,1068.0
69,ORD10069,SHOP_A,Robinhood,2025-04-27 11:13:00,6.66,890,668,0,81,62752,1073.9
251,ORD10251,SHOP_A,GrabFood,2025-04-27 11:15:00,2.39,285,1200,0,82,63642,1083.9
833,ORD10833,SHOP_A,GrabFood,2025-04-27 11:15:00,4.03,846,896,1,83,63927,1097.1
150,ORD10150,SHOP_A,LINE_MAN,2025-04-27 11:16:00,2.31,671,1440,0,84,64773,1118.5
192,ORD10192,SHOP_A,GrabFood,2025-04-27 11:17:00,5.63,811,996,0,85,65444,1122.7
656,ORD10656,SHOP_A,ShopeeFood,2025-04-27 11:17:00,1.77,739,627,1,86,66255,1126.1
802,ORD10802,SHOP_A,Robinhood,2025-04-27 11:18:00,0.85,301,271,0,87,66994,1127.0
928,ORD10928,SHOP_A,LINE_MAN,2025-04-27 11:18:00,3.77,1043,1020,0,88,67295,1150.2
580,ORD10580,SHOP_A,ShopeeFood,2025-04-27 11:19:00,6.99,1151,339,1,89,68338,1163.1
130,ORD10130,SHOP_A,GrabFood,2025-04-27 11:20:00,3.88,249,1234,1,90,69489,1182.7
525,ORD10525,SHOP_A,ShopeeFood,2025-04-27 11:23:00,6.25,1082,1633,0,91,69738,1207.1
74,ORD10074,SHOP_A,Robinhood,2025-04-27 11:24:00,1.76,473,1329,1,92,70820,1211.3
87,ORD10087,SHOP_A,GrabFood,2025-04-27 11:24:00,3.54,308,430,0,93,71293,1204.0
138,ORD10138,SHOP_A,ShopeeFood,2025-04-27 11:24:00,3.93,436,1400,0,94,71601,1222.7
303,ORD10303,SHOP_A,GrabFood,2025-04-27 11:24:00,2.4,792,699,0,95,72037,1226.2
840,ORD10840,SHOP_A,ShopeeFood,2025-04-27 11:26:00,5.91,430,504,1,96,72829,1226.2
269,ORD10269,SHOP_A,Robinhood,2025-04-27 11:27:00,3.15,560,1700,1,97,73259,1261.7
287,ORD10287,SHOP_A,LINE_MAN,2025-04-27 11:27:00,7.29,873,531,1,98,73819,1258.8
711,ORD10711,SHOP_A,LINE_MAN,2025-04-27 11:28:00,6.03,707,1586,0,99,74692,1277.4
882,ORD10882,SHOP_A,ShopeeFood,2025-04-27 11:28:00,6.43,472,271,0,100,75399,1267.0
624,ORD10624,SHOP_A,GrabFood,2025-04-27 11:29:00,6.06,1184,1558,1,101,75871,1309.4
66,ORD10066,SHOP_A,GrabFood,2025-04-27 11:31:00,5.33,667,712,1,102,77055,1311.9
633,ORD10633,SHOP_A,Robinhood,2025-04-27 11:33:00,3.16,644,1782,0,103,77722,1340.4
283,ORD10283,SHOP_A,LINE_MAN,2025-04-27 11:37:00,3.78,1145,560,0,104,78366,1334.2
309,ORD10309,SHOP_A,GrabFood,2025-04-27 11:40:00,6.18,1012,1255,1,105,79511,1370.0
540,ORD10540,SHOP_A,ShopeeFood,2025-04-27 11:43:00,2.12,712,1469,0,106,80523,1378.1
201,ORD10201,SHOP_A,GrabFood,2025-04-27 11:45:00,7.62,578,1465,1,107,81235,1386.4
743,ORD10743,SHOP_A,GrabFood,2025-04-27 11:45:00,5.29,952,1527,0,108,81813,1407.1
200,ORD10200,SHOP_A,ShopeeFood,2025-04-27 11:47:00,6.5,844,712,0,109,82765,1401.9
607,ORD10607,SHOP_A,GrabFood,2025-04-27 11:47:00,3.1,459,991,0,110,83609,1418.3
746,ORD10746,SHOP_A,GrabFood,2025-04-27 11:47:00,7.28,1074,1006,0,111,84068,1437.9
957,ORD10957,SHOP_A,GrabFood,2025-04-27 11:48:00,2.72,511,1338,0,112,85142,1451.4
21,ORD10021,SHOP_A,ShopeeFood,2025-04-27 11:52:00,6.14,799,1007,0,113,85653,1455.4
505,ORD10505,SHOP_A,GrabFood,2025-04-27 11:52:00,2.81,1019,942,0,114,86452,1470.6
555,ORD10555,SHOP_A,ShopeeFood,2025-04-27 11:52:00,6.45,329,958,0,115,87471,1478.4
620,ORD10620,SHOP_A,Robinhood,2025-04-27 11:52:00,5.36,1046,386,0,116,87800,1489.2
308,ORD10308,SHOP_A,Robinhood,2025-04-27 11:53:00,6.76,475,577,0,117,88846,1494.5
875,ORD10875,SHOP_A,LINE_MAN,2025-04-27 11:53:00,6.13,245,1797,1,118,89321,1516.5
83,ORD10083,SHOP_A,ShopeeFood,2025-04-27 11:55:00,2.62,1000,277,0,119,89566,1514.0
105,ORD10105,SHOP_A,LINE_MAN,2025-04-27 11:55:00,2.48,465,781,0,120,90566,1529.2
5,ORD10005,SHOP_A,Robinhood,2025-04-27 11:56:00,2.92,671,379,0,121,91031,1536.3
959,ORD10959,SHOP_A,ShopeeFood,2025-04-27 11:57:00,4.14,256,856,1,122,91702,1547.5
454,ORD10454,SHOP_A,ShopeeFood,2025-04-27 12:00:00,2.36,1158,1203,0,123,91958,1568.1
879,ORD10879,SHOP_A,LINE_MAN,2025-04-27 12:01:00,1.63,450,1366,0,124,93116,1582.1
54,ORD10054,SHOP_A,GrabFood,2025-04-27 12:02:00,0.88,729,299,0,125,93566,1585.5
998,ORD10998,SHOP_A,GrabFood,2025-04-27 12:02:00,0.71,427,464,0,126,94295,1585.4
327,ORD10327,SHOP_A,LINE_MAN,2025-04-27 12:03:00,2.94,982,459,1,127,94722,1607.1
803,ORD10803,SHOP_A,LINE_MAN,2025-04-27 12:03:00,3.6,660,1434,0,128,95704,1627.8
52,ORD10052,SHOP_A,ShopeeFood,2025-04-27 12:04:00,0.68,1026,1654,0,129,96364,1653.5
961,ORD10961,SHOP_A,GrabFood,2025-04-27 12:04:00,1.32,870,324,1,130,97390,1645.0
476,ORD10476,SHOP_A,Robinhood,2025-04-27 12:07:00,5.04,310,949,0,131,98260,1657.6
778,ORD10778,SHOP_A,Robinhood,2025-04-27 12:07:00,4.61,644,1389,0,132,98570,1675.1
65,ORD10065,SHOP_A,ShopeeFood,2025-04-27 12:08:00,2.86,442,1087,0,133,99214,1681.2
601,ORD10601,SHOP_A,ShopeeFood,2025-04-27 12:09:00,5.17,970,525,0,134,99656,1689.3
761,ORD10761,SHOP_A,LINE_MAN,2025-04-27 12:10:00,0.91,482,847,1,135,100626,1701.7
612,ORD10612,SHOP_A,LINE_MAN,2025-04-27 12:11:00,6.76,697,1304,0,136,101108,1722.4
740,ORD10740,SHOP_A,Robinhood,2025-04-27 12:12:00,6.94,1104,1096,0,137,101805,1732.4
143,ORD10143,SHOP_A,LINE_MAN,2025-04-27 12:13:00,3.89,967,288,0,138,102909,1735.5
215,ORD10215,SHOP_A,LINE_MAN,2025-04-27 12:13:00,5.14,504,917,0,139,103876,1749.1
376,ORD10376,SHOP_A,Robinhood,2025-04-27 12:13:00,2.07,783,861,0,140,104380,1768.0
432,ORD10432,SHOP_A,LINE_MAN,2025-04-27 12:14:00,3.35,1188,1470,1,141,105163,1798.2
645,ORD10645,SHOP_A,GrabFood,2025-04-27 12:16:00,5.13,622,1511,0,142,106351,1809.9
497,ORD10497,SHOP_A,ShopeeFood,2025-04-27 12:17:00,6.33,777,322,1,143,106973,1796.6
96,ORD10096,SHOP_A,ShopeeFood,2025-04-27 12:20:00,7.05,384,1767,0,144,107750,1831.8
112,ORD10112,SHOP_A,GrabFood,2025-04-27 12:20:00,7.97,361,1160,0,145,108134,1827.8
615,ORD10615,SHOP_A,ShopeeFood,2025-04-27 12:22:00,0.63,391,1771,0,146,108495,1844.5
920,ORD10920,SHOP_A,ShopeeFood,2025-04-27 12:22:00,1.36,742,254,0,147,108886,1828.4
414,ORD10414,SHOP_A,LINE_MAN,2025-04-27 12:23:00,4.8,1054,533,0,148,109628,1853.1
990,ORD10990,SHOP_A,ShopeeFood,2025-04-27 12:24:00,0.91,1118,946,1,149,110682,1875.8
940,ORD10940,SHOP_A,LINE_MAN,2025-04-27 12:25:00,7.99,572,1251,0,150,111800,1898.3
396,ORD10396,SHOP_A,GrabFood,2025-04-27 12:26:00,4.11,1114,1581,0,151,112372,1915.2
536,ORD10536,SHOP_A,LINE_MAN,2025-04-27 12:26:00,2.79,519,1692,0,152,113486,1931.5
535,ORD10535,SHOP_A,LINE_MAN,2025-04-27 12:27:00,4.75,890,813,0,153,114005,1924.9
233,ORD10233,SHOP_A,LINE_MAN,2025-04-27 12:28:00,6.15,458,1545,0,154,114895,1951.0
815,ORD10815,SHOP_A,Robinhood,2025-04-27 12:28:00,1.12,878,1267,0,155,115353,1955.8
994,ORD10994,SHOP_A,Robinhood,2025-04-27 12:28:00,4.57,1041,1377,0,156,116231,1976.8
43,ORD10043,SHOP_A,ShopeeFood,2025-04-27 12:29:00,6.44,980,599,0,157,117272,1984.3
336,ORD10336,SHOP_A,LINE_MAN,2025-04-27 12:29:00,1.07,576,1103,0,158,118252,2001.5
343,ORD10343,SHOP_A,ShopeeFood,2025-04-27 12:29:00,7.41,786,599,0,159,118828,2003.2
364,ORD10364,SHOP_A,Robinhood,2025-04-27 12:29:00,4.71,1058,1018,0,160,119614,2031.6
254,ORD10254,SHOP_A,Robinhood,2025-04-27 12:30:00,0.54,933,1710,0,161,120672,2059.6
22,ORD10022,SHOP_A,LINE_MAN,2025-04-27 12:31:00,4.85,696,318,0,162,121605,2047.3
299,ORD10299,SHOP_A,ShopeeFood,2025-04-27 12:31:00,6.38,337,805,0,163,122301,2063.1
668,ORD10668,SHOP_A,GrabFood,2025-04-27 12:32:00,7.15,871,1204,0,164,122638,2080.0
769,ORD10769,SHOP_A,ShopeeFood,2025-04-27 12:32:00,6.4,397,1568,0,165,123509,2090.9
8,ORD10008,SHOP_A,Robinhood,2025-04-27 12:33:00,7.16,481,1661,0,166,123906,2098.0
307,ORD10307,SHOP_A,ShopeeFood,2025-04-27 12:33:00,7.88,686,1616,0,167,124387,2114.4
4,ORD10004,SHOP_A,ShopeeFood,2025-04-27 12:34:00,3.73,329,697,1,168,125073,2102.2
748,ORD10748,SHOP_A,ShopeeFood,2025-04-27 12:34:00,6.82,380,1233,0,169,125402,2118.3
126,ORD10126,SHOP_A,Robinhood,2025-04-27 12:35:00,3.08,581,1785,0,170,125782,2136.1
809,ORD10809,SHOP_A,LINE_MAN,2025-04-27 12:35:00,4.53,244,1796,0,171,126363,2138.3
889,ORD10889,SHOP_A,ShopeeFood,2025-04-27 12:35:00,1.28,934,1045,1,172,126607,2150.7
692,ORD10692,SHOP_A,GrabFood,2025-04-27 12:38:00,7.92,766,1368,1,173,127541,2165.1
373,ORD10373,SHOP_A,LINE_MAN,2025-04-27 12:39:00,5.97,1088,1798,1,174,128307,2187.1
913,ORD10913,SHOP_A,ShopeeFood,2025-04-27 12:39:00,3.91,1112,1614,1,175,129395,2206.7
11,ORD10011,SHOP_A,ShopeeFood,2025-04-27 12:41:00,2.13,458,924,0,176,130507,2193.6
252,ORD10252,SHOP_A,Robinhood,2025-04-27 12:41:00,5.13,537,1410,0,177,130965,2218.4
369,ORD10369,SHOP_A,ShopeeFood,2025-04-27 12:43:00,6.84,831,1143,1,178,131502,2226.4
598,ORD10598,SHOP_A,GrabFood,2025-04-27 12:43:00,7.86,1103,1612,0,179,132333,2256.1
816,ORD10816,SHOP_A,GrabFood,2025-04-27 12:45:00,1.29,266,1376,1,180,133436,2247.1
217,ORD10217,SHOP_A,Robinhood,2025-04-27 12:46:00,2.4,908,1455,0,181,133702,2269.9
844,ORD10844,SHOP_A,Robinhood,2025-04-27 12:46:00,5.0,1157,1391,0,182,134610,2284.5
224,ORD10224,SHOP_A,ShopeeFood,2025-04-27 12:48:00,5.76,1052,1498,0,183,135767,2303.3
573,ORD10573,SHOP_A,LINE_MAN,2025-04-27 12:48:00,1.85,948,602,0,184,136819,2309.0
260,ORD10260,SHOP_A,GrabFood,2025-04-27 12:50:00,4.46,292,1766,0,185,137767,2329.6
429,ORD10429,SHOP_A,Robinhood,2025-04-27 12:51:00,4.74,474,1466,0,186,138059,2334.4
493,ORD10493,SHOP_A,GrabFood,2025-04-27 12:52:00,4.36,861,582,0,187,138533,2332.4
34,ORD10034,SHOP_A,LINE_MAN,2025-04-27 12:53:00,1.2,845,1013,0,188,139394,2355.3
145,ORD10145,SHOP_A,ShopeeFood,2025-04-27 12:53:00,1.47,680,1687,0,189,140239,2379.7
381,ORD10381,SHOP_A,Robinhood,2025-04-27 12:53:00,5.81,1112,902,0,190,140919,2389.1
915,ORD10915,SHOP_A,ShopeeFood,2025-04-27 12:53:00,5.48,383,1442,0,191,142031,2400.2
891,ORD10891,SHOP_A,ShopeeFood,2025-04-27 12:54:00,1.56,240,467,1,192,142414,2384.7
705,ORD10705,SHOP_A,Robinhood,2025-04-27 12:56:00,5.14,327,1767,0,193,142654,2414.2
993,ORD10993,SHOP_A,ShopeeFood,2025-04-27 12:56:00,2.73,298,1231,0,194,142981,2405.8
110,ORD10110,SHOP_A,LINE_MAN,2025-04-27 12:57:00,4.53,1164,705,1,195,143279,2416.0
340,ORD10340,SHOP_A,Robinhood,2025-04-27 12:57:00,7.51,256,476,1,196,144443,2419.0
380,ORD10380,SHOP_A,ShopeeFood,2025-04-27 12:57:00,1.48,916,1293,0,197,144699,2446.1
174,ORD10174,SHOP_A,ShopeeFood,2025-04-27 12:58:00,0.55,339,411,1,198,145615,2442.9
672,ORD10672,SHOP_A,GrabFood,2025-04-27 12:58:00,3.86,322,1151,0,199,145954,2462.8
23,ORD10023,SHOP_A,ShopeeFood,2025-04-27 12:59:00,4.0,592,801,0,200,146276,2464.0
758,ORD10758,SHOP_A,ShopeeFood,2025-04-27 12:59:00,3.4,519,1354,0,201,146868,2478.9
16,ORD10016,SHOP_A,GrabFood,2025-04-27 13:00:00,4.74,976,794,0,202,147387,2489.5
278,ORD10278,SHOP_A,GrabFood,2025-04-27 13:00:00,2.07,728,332,0,203,148363,2496.6
900,ORD10900,SHOP_A,ShopeeFood,2025-04-27 13:00:00,7.56,286,359,1,204,149091,2492.2
248,ORD10248,SHOP_A,Robinhood,2025-04-27 13:01:00,7.92,636,1077,0,205,149377,2518.7
176,ORD10176,SHOP_A,ShopeeFood,2025-04-27 13:04:00,2.82,863,1521,0,206,150013,2543.7
972,ORD10972,SHOP_A,GrabFood,2025-04-27 13:04:00,6.84,1083,1613,0,207,150876,2561.7
129,ORD10129,SHOP_A,ShopeeFood,2025-04-27 13:06:00,1.3,739,1669,0,208,151959,2578.9
316,ORD10316,SHOP_A,Robinhood,2025-04-27 13:07:00,5.54,314,967,0,209,152698,2568.5
495,ORD10495,SHOP_A,ShopeeFood,2025-04-27 13:07:00,6.19,374,1559,0,210,153012,2585.8
878,ORD10878,SHOP_A,ShopeeFood,2025-04-27 13:07:00,6.1,468,1153,1,211,153386,2589.1
886,ORD10886,SHOP_A,LINE_MAN,2025-04-27 13:08:00,3.4,608,1560,0,212,153854,2601.1
302,ORD10302,SHOP_A,ShopeeFood,2025-04-27 13:09:00,3.7,924,689,0,213,154462,2602.5
697,ORD10697,SHOP_A,ShopeeFood,2025-04-27 13:10:00,3.04,303,612,1,214,155386,2606.8
603,ORD10603,SHOP_A,ShopeeFood,2025-04-27 13:11:00,4.64,900,903,0,215,155689,2621.2
314,ORD10314,SHOP_A,LINE_MAN,2025-04-27 13:13:00,1.93,908,1796,0,216,156589,2656.7
401,ORD10401,SHOP_A,ShopeeFood,2025-04-27 13:13:00,0.96,1032,644,0,217,157497,2649.4
342,ORD10342,SHOP_A,ShopeeFood,2025-04-27 13:15:00,4.73,827,529,0,218,158529,2666.6
438,ORD10438,SHOP_A,LINE_MAN,2025-04-27 13:15:00,4.07,628,331,0,219,159356,2673.3
966,ORD10966,SHOP_A,LINE_MAN,2025-04-27 13:17:00,1.6,313,250,1,220,159984,2673.5
813,ORD10813,SHOP_A,ShopeeFood,2025-04-27 13:19:00,6.9,588,258,0,221,160297,2689.9
884,ORD10884,SHOP_A,LINE_MAN,2025-04-27 13:19:00,4.04,947,905,0,222,160885,2715.2
71,ORD10071,SHOP_A,ShopeeFood,2025-04-27 13:20:00,1.34,765,1367,0,223,161832,2733.3
911,ORD10911,SHOP_A,ShopeeFood,2025-04-27 13:20:00,1.33,802,1684,0,224,162597,2755.9
300,ORD10300,SHOP_A,LINE_MAN,2025-04-27 13:22:00,7.65,573,498,0,225,163399,2739.4
333,ORD10333,SHOP_A,LINE_MAN,2025-04-27 13:22:00,1.3,358,683,0,226,163972,2752.3
691,ORD10691,SHOP_A,GrabFood,2025-04-27 13:23:00,5.26,981,574,0,227,164330,2767.5
44,ORD10044,SHOP_A,GrabFood,2025-04-27 13:25:00,3.38,853,1343,0,228,165311,2794.7
178,ORD10178,SHOP_A,Robinhood,2025-04-27 13:25:00,1.37,685,366,0,229,166164,2785.4
335,ORD10335,SHOP_A,Robinhood,2025-04-27 13:25:00,5.41,706,243,0,230,166849,2793.7
523,ORD10523,SHOP_A,ShopeeFood,2025-04-27 13:28:00,3.75,394,990,0,231,167555,2816.4
280,ORD10280,SHOP_A,Robinhood,2025-04-27 13:29:00,6.99,242,1425,0,232,167949,2824.4
481,ORD10481,SHOP_A,ShopeeFood,2025-04-27 13:29:00,6.46,256,1325,0,233,168191,2827.9
157,ORD10157,SHOP_A,Robinhood,2025-04-27 13:30:00,0.95,999,413,0,234,168447,2831.9
288,ORD10288,SHOP_A,GrabFood,2025-04-27 13:30:00,2.78,916,487,0,235,169446,2846.2
564,ORD10564,SHOP_A,LINE_MAN,2025-04-27 13:30:00,4.29,834,1583,0,236,170362,2873.3
788,ORD10788,SHOP_A,GrabFood,2025-04-27 13:30:00,5.81,558,698,0,237,171196,2875.1
929,ORD10929,SHOP_A,ShopeeFood,2025-04-27 13:30:00,6.04,269,1410,1,238,171754,2890.5
522,ORD10522,SHOP_A,LINE_MAN,2025-04-27 13:31:00,0.53,302,1525,0,239,172023,2893.2
838,ORD10838,SHOP_A,ShopeeFood,2025-04-27 13:31:00,1.16,822,752,0,240,172325,2899.9
468,ORD10468,SHOP_A,GrabFood,2025-04-27 13:32:00,7.06,371,649,1,241,173147,2904.7
33,ORD10033,SHOP_A,Robinhood,2025-04-27 13:34:00,5.92,1093,1557,1,242,173518,2934.2
319,ORD10319,SHOP_A,LINE_MAN,2025-04-27 13:37:00,5.6,576,1333,0,243,174611,2948.1
97,ORD10097,SHOP_A,Robinhood,2025-04-27 13:39:00,1.31,927,1030,1,244,175187,2953.9
881,ORD10881,SHOP_A,LINE_MAN,2025-04-27 13:42:00,5.44,569,1432,0,245,176114,2966.0
60,ORD10060,SHOP_A,GrabFood,2025-04-27 13:44:00,4.98,392,1729,0,246,176683,2981.3
430,ORD10430,SHOP_A,LINE_MAN,2025-04-27 13:44:00,3.62,590,413,0,247,177075,2964.8
162,ORD10162,SHOP_A,Robinhood,2025-04-27 13:45:00,4.84,417,1345,1,248,177665,2987.7
